Id,Name,Frequency,Video_memory,Price,Recommended,Link
34,ASUS NVIDIA GeForce GT 710,954,2,4050,0,https://www.citilink.ru/product/videokarta-asus-pci-e-gt710-sl-2gd5-di-nv-gt710-2048mb-64-gddr5-954-50-1514429/
35,MSI NVIDIA GeForce RTX 2060,1710,6,62 990,0,https://www.citilink.ru/product/videokarta-msi-pci-e-rtx-2060-ventus-oc-ru-nv-rtx2060-6144mb-192-gddr6-1503829/
36,GIGABYTE NVIDIA GeForce RTX 3080,1845,10,262 990,0,https://www.citilink.ru/product/videokarta-gigabyte-nvidia-geforce-rtx-3080-gv-n3080aorusx-wb-10gd-10g-1441386/
37,ASUS NVIDIA GeForce GTX 1650,1410,4,27 990,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-gtx-1650-tuf-gtx1650-4gd6-p-gaming-4gb-1427624/
38,GIGABYTE NVIDIA GeForce RTX 3080,1800,10,267 990,0,https://www.citilink.ru/product/videokarta-gigabyte-pci-e-4-0-gv-n3080vision-oc-10gd-nv-geforce-rtx-30-1420794/
39,PALIT nVidia GeForce GTX 1050TI,1290,4,20 590,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1050ti-pa-gtx1050ti-stormx-4g-4gb-1184633/
40,DELL nVidia Quadro RTX4000,8,,83 500,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-rtx4000-490-bfcy-8gb-gddr6-oem-1164615/
41,DELL NVIDIA Quadro P620,2,,16 050,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-p620-quadro-p620-2gb-gddr5-oem-490-beqv-1131662/
42,DELL nVidia Quadro P1000,4,,29 870,0,https://www.citilink.ru/product/videokarta-dell-nvidia-quadro-p1000-quadro-p1000-4gb-gddr5-oem-490-bdx-1070053/
43,PALIT NVIDIA GeForce RTX 3060,1320,12,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-rtx-3060-rtx3060-dual-oc-12g-12gb-gddr-1469028/
44,MSI NVIDIA GeForce RTX 3070,1755,8,,0,https://www.citilink.ru/product/videokarta-msi-nvidia-geforce-rtx-3070-rtx-3070-ventus-2x-oc-8gb-gddr6-1423322/
45,ASUS AMD Radeon RX 580,1360,8,,0,https://www.citilink.ru/product/videokarta-asus-amd-radeon-rx-580-dual-rx580-o8g-8gb-gddr5-oc-ret-473054/
46,PALIT NVIDIA GeForce GTX 1650,1410,4,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1650-pa-gtx1650-gp-4g-d6-4gb-gddr6-1472471/
47,PALIT NVIDIA GeForce GTX 1650,1410,4,,0,https://www.citilink.ru/product/videokarta-palit-nvidia-geforce-gtx-1650-pa-gtx1650-gp-oc-4g-d6-4gb-gd-1468993/
48,ASUS NVIDIA GeForce RTX 3070,1725,8,,0,https://www.citilink.ru/product/videokarta-asus-nvidia-geforce-rtx-3070-rog-strix-rtx3070-8g-gaming-8g-1465654/
49,MSI AMD Radeon RX 5500XT,1685,8,,0,https://www.citilink.ru/product/videokarta-msi-amd-radeon-rx-5500xt-rx-5500-xt-gaming-x-8g-8gb-gddr6-r-1200193/;
