Id,Name,Propeller_diameter,Tdp,Price,Recommended,Link
35,AEROCOOL Verkho 2 Plus,120 мм,115 Вт,1150,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-2-plus-120mm-ret-1053606/
36,DEEPCOOL THETA 21,92 мм,95 Вт,720,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-theta-21-92mm-ret-668260/
37,AEROCOOL Cylon 3,120 мм,125 Вт,1830,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-cylon-3-120mm-ret-1170747/
38,AEROCOOL Verkho 3 Plus,120 мм,125 Вт,1400,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-3-plus-120mm-ret-1053609/
39,INTEL E41759,80 Вт,без тепловых трубок,700,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-intel-e41759-bulk-582778/
40,AEROCOOL Verkho 3,90 мм,120 Вт,1450,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-3-90mm-ret-1053608/
41,TITAN TTC-NK35TZ/RPWKU,95 мм,140 Вт,2050,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-nk35tz-rpw-ku-95mm-ret-665910/
42,ZALMAN CNPS90F,92 мм,95 Вт,600,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps90f-92mm-ret-869586/
43,AEROCOOL BAS,120 мм,100 Вт,590,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-bas-120mm-ret-1052923/
44,AEROCOOL Verkho 1-3P,90 мм,100 Вт,850,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-1-3p-90mm-ret-1053137/
45,COOLER MASTER A30,80 мм,65 Вт,340,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-a30-ret-1457114/
46,ZALMAN CNPS10X Performa,120 мм,230 Вт,3020,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps10x-performa-120mm-ret-565149/
47,AEROCOOL Verkho 4 Lite,90 мм,125 Вт,1780,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-4-lite-90mm-ret-1053610/
48,AEROCOOL Verkho 4,120 мм,140 Вт,1850,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-4-120mm-ret-1053611/
49,TITAN DC-155A915Z/RPW,95 мм,75 Вт,800,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-155a915z-rpw-95mm-ret-789474/
50,AEROCOOL BAS U-PWM,120 мм,110 Вт,790,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-bas-u-pwm-120mm-ret-1052927/
51,COOLER MASTER i30 PWM,92 мм,65 Вт,410,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-i30-pwm-ret-1457133/
52,COOLER MASTER Z50,90 мм,84 Вт,440,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-z50-ret-1457178/
53,ZALMAN CNPS4X,92 мм,95 Вт,1300,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps4x-soc-fm2-am2-am3-am4-1150-1-1373164/
54,AEROCOOL Verkho I,80 мм,75 Вт,500,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-i-80mm-ret-1052944/
55,TITAN DC-K8N925B/R,95 мм,95 Вт,860,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-k8n925b-r-95mm-ret-1195355/
56,AEROCOOL Verkho 2 Slim,90 мм,105 Вт,1490,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-2-slim-90mm-ret-1053143/
57,ZALMAN CNPS10X Optima II Black RGB,120 мм,180 Вт,2570,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps10x-optima-ii-black-rgb-ret-1477524/
58,TITAN TTC-NA02TZ/RPW1,95 мм,130 Вт,880,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-na02tz-rpw1-95mm-ret-556960/
59,ZALMAN CNPS20X,140 мм,300 Вт,6750,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps20x-soc-fm2-am2-am3-am4-1150-1373161/
60,TITAN TTC-NK35TZ/RKU,95 мм,140 Вт,2000,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-nk35tz-r-ku-95mm-ret-604203/
61,AEROCOOL Verkho 5 DARK,120 мм,150 Вт,2830,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-5-dark-120mm-ret-1109044/
62,AEROCOOL BAS AUG,120 мм,125 Вт,990,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-bas-aug-120mm-ret-1052934/
63,COOLER MASTER Hyper 212 Spectrum,120 мм,130 Вт,2920,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-hyper-212-spectrum-ret-1457175/
64,TITAN Dragonfly 4,120 мм,160 Вт,3120,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dragonfly-4-120mm-ret-868451/
65,TITAN TTC-NA32TZ/R,95 мм,95 Вт,920,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-na32tz-r-95mm-ret-591804/
