Id,Name,Power,Price,Recommended,Link
138,THERMALTAKE Toughpower GF1 ARGB,6 шт,11 910,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gf1-argb-750vt-140mm-chernyi-reta-1162057/
139,GIGABYTE GP-P850GM,3 шт,11 990,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-gp-p850gm-80-gold-24-4-4pin-apfc-120mm-1422460/
140,THERMALTAKE Toughpower Grand RGB,120мм,12 620,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-750vt-140mm-chernyi-ret-1029555/
141,SEASONIC PRIME GX-650,retail,12 650,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-prime-gx-650-650vt-135mm-chernyi-retail-gx-650-1210808/
142,SEASONIC SS-500L1U,650 Вт,13 000,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-ss-500l1u-500vt-40mm-seryi-1160006/
143,THERMALTAKE Toughpower iRGB Plus,80 PLUS GOLD,13 670,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-irgb-plus-750vt-140mm-chernyi-ret-1136885/
144,THERMALTAKE Toughpower GF1 ARGB,черный,14 510,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gf1-argb-850vt-140mm-chernyi-reta-1162059/
145,SEASONIC SSR-600TL,600 Вт,28 400,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-ssr-600tl-600vt-chernyi-retail-1082010/
146,CORSAIR CX650F,650 Вт,10 580,0,https://www.citilink.ru/product/blok-pitaniya-corsair-cx650f-650vt-120mm-retail-cp-9020217-eu-rps0134-1468197/
147,COOLER MASTER Elite V4,500 Вт,3560,0,https://www.citilink.ru/product/blok-pitaniya-cooler-master-elite-v4-500w-500vt-120mm-retail-mpe-5001-1446101/
148,CORSAIR RM850X,850 Вт,16 900,0,https://www.citilink.ru/product/blok-pitaniya-corsair-rm850x-850vt-140mm-retail-cp-9020180-eu-1445090/
149,THERMALTAKE Toughpower GF1 ARGB,850 Вт,14 510,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gf1-argb-850vt-140mm-chernyi-reta-1162059/
150,SEASONIC SS-500L1U,500 Вт,13 000,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-ss-500l1u-500vt-40mm-seryi-1160006/
151,THERMALTAKE Smart BX1,750 Вт,8030,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-bx1-750vt-120mm-chernyi-retail-ps-spd-1088662/
152,SEASONIC SSP-300SFB,300 Вт,4650,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-ssp-300sfb-300vt-80mm-1217444/
153,,600 Вт,,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-atx-600w-vx-600-plus-24-4-4pin-120mm-fan-3xsata-M00204878/
154,,430 Вт,,0,https://www.citilink.ru/product/blok-pitaniya-linkworld-atx-430w-lw2-430w-case-version-24pin-2-sata-2-570231/
155,SEASONIC PRIME TX-850,850 Вт,,0,https://www.citilink.ru/product/blok-pitaniya-seasonic-prime-tx-850-850vt-135mm-chernyi-retail-tx-850-1199729/;
