Id,Name,Type,Picture,Price,Recommended,Link
28,mATX ACCORD A-08B черный,Mini-Tower,https://items.s1.citilink.ru/949497_v01_m.jpg,2080,0,https://www.citilink.ru/product/korpus-matx-accord-a-08b-mini-tower-bez-bp-chernyi-949497/
29,ATX ZALMAN i3 edge черный,Midi-Tower,https://items.s1.citilink.ru/1071137_v01_m.jpg,3640,0,https://www.citilink.ru/product/korpus-atx-zalman-i3-edge-midi-tower-bez-bp-chernyi-1071137/
30,ATX ACCORD ACC-CL290B черный,Midi-Tower,https://items.s1.citilink.ru/1147825_v01_m.jpg,2410,0,https://www.citilink.ru/product/korpus-atx-accord-acc-cl290b-midi-tower-bez-bp-chernyi-1147825/
31,ATX ZALMAN N5 TF черный,Midi-Tower,https://items.s1.citilink.ru/1365633_v01_m.jpg,4030,0,https://www.citilink.ru/product/korpus-zalman-n5-tf-chernyi-bez-bp-atx-3x120mm-2xusb2-0-1xusb3-0-audio-1365633/
32,mATX AEROCOOL CS-105 черный,Mini-Tower,https://items.s1.citilink.ru/1103477_v01_m.jpg,2850,0,https://www.citilink.ru/product/korpus-matx-aerocool-cs-105-mini-tower-bez-bp-chernyi-1103477/
33,ATX FORMULA F-3402 черный,Midi-Tower,https://items.s1.citilink.ru/1169764_v01_m.jpg,3370,0,https://www.citilink.ru/product/korpus-atx-formula-f-3402-midi-tower-bez-bp-chernyi-1169764/
34,mATX THERMALTAKE Versa H18 Window черный,Micro-Tower,https://items.s1.citilink.ru/1014591_v01_m.jpg,3320,0,https://www.citilink.ru/product/korpus-matx-thermaltake-versa-h18-window-micro-tower-bez-bp-chernyi-1014591/
35,ATX FORMULA CL-3302B RGB черный,Midi-Tower,https://items.s1.citilink.ru/1147810_v01_m.jpg,2940,0,https://www.citilink.ru/product/korpus-atx-formula-cl-3302b-rgb-midi-tower-bez-bp-chernyi-1147810/
36,ATX ACCORD E-01 черный,Midi-Tower,https://items.s1.citilink.ru/405923_v01_m.jpg,2230,0,https://www.citilink.ru/product/korpus-atx-accord-e-01-midi-tower-bez-bp-chernyi-405923/
37,ATX ACCORD JP-II черный,Midi-Tower,https://items.s1.citilink.ru/1147993_v01_m.jpg,2430,0,https://www.citilink.ru/product/korpus-atx-accord-jp-ii-midi-tower-bez-bp-chernyi-1147993/
38,ATX FORMULA F-3401 V1 черный,Midi-Tower,https://items.s1.citilink.ru/1198599_v01_m.jpg,3930,0,https://www.citilink.ru/product/korpus-atx-formula-f-3401-v1-midi-tower-bez-bp-chernyi-1198599/
39,ATX AEROCOOL Bolt A-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1121615_v01_m.jpg,3210,0,https://www.citilink.ru/product/korpus-atx-aerocool-bolt-a-bk-v1-midi-tower-bez-bp-chernyi-1121615/
40,mATX ACCORD M-02B черный,Mini-Tower,https://items.s1.citilink.ru/917122_v01_m.jpg,2180,0,https://www.citilink.ru/product/korpus-matx-accord-m-02b-mini-tower-bez-bp-chernyi-917122/
41,ATX ACCORD JP-VI черный,Midi-Tower,https://items.s1.citilink.ru/1088663_v01_m.jpg,2640,0,https://www.citilink.ru/product/korpus-atx-accord-jp-vi-midi-tower-bez-bp-chernyi-1088663/
42,ATX ACCORD JP-X черный,Midi-Tower,https://items.s1.citilink.ru/1123217_v01_m.jpg,3370,0,https://www.citilink.ru/product/korpus-atx-accord-jp-x-midi-tower-bez-bp-chernyi-1123217/
43,ATX FORMULA CL-3301W TG белый,Midi-Tower,https://items.s1.citilink.ru/1179207_v01_m.jpg,3430,0,https://www.citilink.ru/product/korpus-atx-formula-cl-3301w-tg-midi-tower-bez-bp-belyi-1179207/
44,mATX ZALMAN ZM-T3 черный,Mini-Tower,https://items.s1.citilink.ru/843165_v01_m.jpg,3250,0,https://www.citilink.ru/product/korpus-matx-zalman-zm-t3-mini-tower-bez-bp-chernyi-843165/
45,ATX AEROCOOL Aero One Eclipse-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1184801_v01_m.jpg,5580,0,https://www.citilink.ru/product/korpus-atx-aerocool-aero-one-eclipse-g-bk-v1-midi-tower-bez-bp-chernyi-1184801/
46,mATX AEROCOOL CS-101 черный,Desktop,https://items.s1.citilink.ru/341224_v01_m.jpg,3820,0,https://www.citilink.ru/product/korpus-matx-aerocool-cs-101-desktop-400vt-chernyi-341224/
47,ATX FORMULA CL-3301B TG черный,Midi-Tower,https://items.s1.citilink.ru/1179215_v01_m.jpg,3120,0,https://www.citilink.ru/product/korpus-atx-formula-cl-3301b-tg-midi-tower-bez-bp-chernyi-1179215/
48,ATX ACCORD ACC-CT316B черный,Midi-Tower,https://items.s1.citilink.ru/1137445_v01_m.jpg,2770,0,https://www.citilink.ru/product/korpus-atx-accord-acc-ct316b-midi-tower-bez-bp-chernyi-1137445/
49,ATX AEROCOOL CS-1101 черный,Midi-Tower,https://items.s1.citilink.ru/396049_v01_m.jpg,2290,0,https://www.citilink.ru/product/korpus-atx-aerocool-cs-1101-midi-tower-bez-bp-chernyi-396049/
50,ATX ACCORD JP-IV черный,Midi-Tower,https://items.s1.citilink.ru/1075825_v01_m.jpg,2060,0,https://www.citilink.ru/product/korpus-atx-accord-jp-iv-midi-tower-bez-bp-chernyi-1075825/
51,mATX AEROCOOL Bolt Mini TG черный,Mini-Tower,https://items.s1.citilink.ru/1191681_v01_m.jpg,3170,0,https://www.citilink.ru/product/korpus-matx-aerocool-bolt-mini-tg-mini-tower-bez-bp-chernyi-1191681/
52,ATX ZALMAN Z3 Plus черный,Midi-Tower,https://items.s1.citilink.ru/929913_v01_m.jpg,3930,0,https://www.citilink.ru/product/korpus-atx-zalman-z3-plus-midi-tower-bez-bp-chernyi-929913/
53,ATX ACCORD A-30B черный,Midi-Tower,https://items.s1.citilink.ru/648982_v01_m.jpg,2280,0,https://www.citilink.ru/product/korpus-atx-accord-a-30b-midi-tower-bez-bp-chernyi-648982/
54,mATX LINKWORLD 727-21 черный,Mini-Tower,https://items.s1.citilink.ru/326506_v01_m.jpg,2080,0,https://www.citilink.ru/product/korpus-matx-linkworld-727-21-mini-tower-bez-bp-chernyi-326506/
55,ATX AEROCOOL Ore Saturn FRGB-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1217780_v01_m.jpg,3700,0,https://www.citilink.ru/product/korpus-aerocool-ore-saturn-frgb-g-bk-v1-chernyi-bez-bp-atx-4x120mm-2xu-1217780/
56,mATX ACCORD A-07B черный,Mini-Tower,https://items.s1.citilink.ru/917132_v01_m.jpg,2180,0,https://www.citilink.ru/product/korpus-matx-accord-a-07b-mini-tower-bez-bp-chernyi-917132/
57,ATX ZALMAN S1 черный,Midi-Tower,https://items.s1.citilink.ru/1121554_v01_m.jpg,2740,0,https://www.citilink.ru/product/korpus-atx-zalman-s1-midi-tower-bez-bp-chernyi-1121554/
58,ATX ZALMAN S4 черный,Midi-Tower,https://items.s1.citilink.ru/1358115_v01_m.jpg,2590,0,https://www.citilink.ru/product/korpus-atx-zalman-s4-midi-tower-bez-bp-chernyi-1358115/
59,mATX AEROCOOL Qs-182 черный,Mini-Tower,https://items.s1.citilink.ru/951689_v01_m.jpg,2970,0,https://www.citilink.ru/product/korpus-matx-aerocool-qs-182-mini-tower-bez-bp-chernyi-951689/
60,mATX AEROCOOL Qs-180 черный,Mini-Tower,https://items.s1.citilink.ru/951617_v01_m.jpg,2550,0,https://www.citilink.ru/product/korpus-matx-aerocool-qs-180-mini-tower-bez-bp-chernyi-951617/
61,ATX AEROCOOL Python-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1182844_v01_m.jpg,5150,0,https://www.citilink.ru/product/korpus-atx-aerocool-python-g-bk-v1-midi-tower-bez-bp-chernyi-1182844/
62,ATX ZALMAN N3 черный,Midi-Tower,https://items.s1.citilink.ru/1023952_v01_m.jpg,3730,0,https://www.citilink.ru/product/korpus-atx-zalman-n3-midi-tower-bez-bp-chernyi-1023952/
63,ATX ACCORD ACC-CT291 черный,Midi-Tower,https://items.s1.citilink.ru/1147830_v01_m.jpg,2380,0,https://www.citilink.ru/product/korpus-atx-accord-acc-ct291-midi-tower-bez-bp-chernyi-1147830/
64,mATX ZALMAN ZM-T4 черный,Mini-Tower,https://items.s1.citilink.ru/858433_v01_m.jpg,2650,0,https://www.citilink.ru/product/korpus-matx-zalman-zm-t4-mini-tower-bez-bp-chernyi-858433/
65,ATX AEROCOOL Glider Cosmo-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1217781_v01_m.jpg,3270,0,https://www.citilink.ru/product/korpus-aerocool-glider-cosmo-g-bk-v1-chernyi-bez-bp-atx-7x120mm-2xusb2-1217781/
66,ATX ZALMAN ZM-Z1 черный,Midi-Tower,https://items.s1.citilink.ru/890800_v01_m.jpg,3020,0,https://www.citilink.ru/product/korpus-atx-zalman-zm-z1-midi-tower-bez-bp-chernyi-890800/
67,ATX AEROCOOL CS-1102 черный,Midi-Tower,https://items.s1.citilink.ru/396050_v01_m.jpg,2340,0,https://www.citilink.ru/product/korpus-atx-aerocool-cs-1102-midi-tower-bez-bp-chernyi-396050/
68,ATX ZALMAN S5 белый,Midi-Tower,https://items.s1.citilink.ru/1358134_v01_m.jpg,3830,0,https://www.citilink.ru/product/korpus-atx-zalman-s5-midi-tower-bez-bp-belyi-1358134/
69,ATX AEROCOOL VS-1 черный,Midi-Tower,https://items.s1.citilink.ru/338855_v01_m.jpg,3580,0,https://www.citilink.ru/product/korpus-atx-aerocool-vs-1-midi-tower-bez-bp-chernyi-338855/
70,ATX AEROCOOL Shard A-BK-v черный,Midi-Tower,https://items.s1.citilink.ru/1121617_v01_m.jpg,2900,0,https://www.citilink.ru/product/korpus-atx-aerocool-shard-a-bk-v-midi-tower-bez-bp-chernyi-1121617/
71,ATX ACCORD K-16 черный,Midi-Tower,https://items.s1.citilink.ru/1426555_v01_m.jpg,1950,0,https://www.citilink.ru/product/korpus-atx-accord-k-16-bez-bp-chernyi-acc-k-16-1426555/
72,ATX AEROCOOL AirHawk Duo-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1184809_v01_m.jpg,6940,0,https://www.citilink.ru/product/korpus-atx-aerocool-airhawk-duo-g-bk-v1-midi-tower-bez-bp-chernyi-1184809/
73,ATX ZALMAN S4 Plus черный,Midi-Tower,https://items.s1.citilink.ru/1358128_v01_m.jpg,3390,0,https://www.citilink.ru/product/korpus-atx-zalman-s4-plus-midi-tower-bez-bp-chernyi-1358128/
74,ATX FORMULA CL-505B черный,Midi-Tower,https://items.s1.citilink.ru/1075787_v01_m.jpg,2920,0,https://www.citilink.ru/product/korpus-atx-formula-cl-505b-midi-tower-bez-bp-chernyi-1075787/
75,ATX ZALMAN ZM-T7 черный,Midi-Tower,https://items.s1.citilink.ru/1212203_v01_m.jpg,3090,0,https://www.citilink.ru/product/korpus-atx-zalman-zm-t7-midi-tower-bez-bp-chernyi-1212203/
76,ATX FORMULA F-3401 черный,Midi-Tower,https://items.s1.citilink.ru/1123266_v01_m.jpg,3920,0,https://www.citilink.ru/product/korpus-atx-formula-f-3401-midi-tower-bez-bp-chernyi-1123266/
